country,gdpp
Nepal,592
Tajikistan,738
Bangladesh,758
Cambodia,786
Kyrgyz Republic,880
Myanmar,988
Vietnam,1310
India,1350
Uzbekistan,1380
Moldova,1630
Bolivia,1980
Philippines,2130
Bhutan,2180
Egypt,2600
Mongolia,2650
Sri Lanka,2810
Morocco,2830
Guatemala,2830
"Micronesia, Fed. Sts.",2860
Georgia,2960
Vanuatu,2970
Ukraine,2970
El Salvador,2990
Guyana,3040
Indonesia,3110
Armenia,3220
Paraguay,3230
Cape Verde,3310
Samoa,3450
Tonga,3550
Fiji,3650
Jordan,3680
Albania,4090
Tunisia,4140
Belize,4340
Turkmenistan,4440
Algeria,4460
"Macedonia, FYR",4540
China,4560
Bosnia and Herzegovina,4610
Ecuador,4660
Jamaica,4680
Peru,5020
Thailand,5080
Serbia,5410
Dominican Republic,5450
Azerbaijan,5840
Belarus,6030
St. Vincent and the Grenadines,6230
Colombia,6250
Botswana,6350
Iran,6530
Montenegro,6680
Bulgaria,6840
Maldives,7100
South Africa,7280
Grenada,7370
Mauritius,8000
Panama,8080
Costa Rica,8200
Romania,8230
Suriname,8300
Lebanon,8860
Kazakhstan,9070
Malaysia,9070
Argentina,10300
Turkey,10700
Russia,10700
Seychelles,10800
Brazil,11200
Latvia,11300
Uruguay,11900
Lithuania,12000
Libya,12100
Antigua and Barbuda,12200
Poland,12600
Chile,12900
Hungary,13100
Venezuela,13500
Croatia,13500
Estonia,14600
Barbados,16000
Slovak Republic,16600
Saudi Arabia,19300
Oman,19300
Czech Republic,19800
Bahrain,20700
Bahamas,28000
